name,address,city,state,zip,full_address,farm_type,produce,phone,website,distance,hours
Bear Swamp Orchard and Cidery,,Ashfield,MA,,"Ashfield, MA","U-Pick Farm, Orchard",,,,,
Beaver Brook Farm,,East Bridgewater,MA,,"East Bridgewater, MA","U-Pick Farm, Orchard",,,,,
Belkin Lookout Farm,,South Natick,MA,,"South Natick, MA","U-Pick Farm, Orchard",,,,,
Berkley Nursery & Tree Farm,,Berkley,MA,,"Berkley, MA","U-Pick Farm, Orchard",,,,,
"Berry Patch, The",,West Granville,MA,,"West Granville, MA","U-Pick Farm, Orchard",,,,,
Beverly Bees Store,,Salem,MA,,"Salem, MA","U-Pick Farm, Orchard",,,,,
Billingsgate Farm,,Plympton,MA,,"Plympton, MA","U-Pick Farm, Orchard",,,,,
Bird Haven Blueberry Farm,,Southampton,MA,,"Southampton, MA","U-Pick Farm, Orchard",,,,,
Blue Heaven BlueberryRaspberry Farm,,Middlefield,MA,,"Middlefield, MA","U-Pick Farm, Orchard",,,,,
Blue Lake Alpacas,,Leicester,MA,,"Leicester, MA","U-Pick Farm, Orchard",,,,,
"Flasher, ND",,Flasher,ND,,"Flasher, ND","U-Pick Farm, Orchard",,,,,
"Walhalla, ND",,Walhalla,ND,,"Walhalla, ND","U-Pick Farm, Orchard",,,,,
"Courtenay, ND",,Courtenay,ND,,"Courtenay, ND","U-Pick Farm, Orchard",,,,,
"Killdeer, ND",,Killdeer,ND,,"Killdeer, ND","U-Pick Farm, Orchard",,,,,
"Carrington, ND",,Carrington,ND,,"Carrington, ND","U-Pick Farm, Orchard",,,,,
"Linton, ND",,Linton,ND,,"Linton, ND","U-Pick Farm, Orchard",,,,,
"Jamestown, ND",,Jamestown,ND,,"Jamestown, ND","U-Pick Farm, Orchard",,,,,
"Bowdon, ND",,Bowdon,ND,,"Bowdon, ND","U-Pick Farm, Orchard",,,,,
"Bismarck, ND",,Bismarck,ND,,"Bismarck, ND","U-Pick Farm, Orchard",,,,,
"Rocklake, ND",,Rocklake,ND,,"Rocklake, ND","U-Pick Farm, Orchard",,,,,
"Wishek, ND",,Wishek,ND,,"Wishek, ND","U-Pick Farm, Orchard",,,,,
2225 37th Street NE1,,,North Dakota,,", , North Dakota","U-Pick Farm, Orchard",,,,,
American Honey Company,,Flasher,ND,,"Flasher, ND","U-Pick Farm, Orchard",,,,,
Annual Giant Pumpkin Festival,,Walhalla,ND,,"Walhalla, ND","U-Pick Farm, Orchard",,,,,
Badlands Trail Rides and Eastview Campgrounds,,Killdeer,ND,,"Killdeer, ND","U-Pick Farm, Orchard",,,,,
Barton Meats Inc.,,Carrington,ND,,"Carrington, ND","U-Pick Farm, Orchard",,,,,
Beaver Creek Pumpkin Festival,,Linton,ND,,"Linton, ND","U-Pick Farm, Orchard",,,,,
Bowdon Meat Processing,,Bowdon,ND,,"Bowdon, ND","U-Pick Farm, Orchard",,,,,
Brinkman Brothers Honey,,Bismarck,ND,,"Bismarck, ND","U-Pick Farm, Orchard",,,,,
Crocus View Pumpkin Patch,,Rocklake,ND,,"Rocklake, ND","U-Pick Farm, Orchard",,,,,
Dakota Carriage Company Pumpkin Patch,,Fargo,ND,,"Fargo, ND","U-Pick Farm, Orchard",,,,,
Danzig Honey Company,,Wishek,ND,,"Wishek, ND","U-Pick Farm, Orchard",,,,,
"Plant City, FL",,Plant City,FL,,"Plant City, FL","U-Pick Farm, Orchard",,,,,
"Crescent City, FL",,Crescent City,FL,,"Crescent City, FL","U-Pick Farm, Orchard",,,,,
"St Cloud, FL",,St Cloud,FL,,"St Cloud, FL","U-Pick Farm, Orchard",,,,,
"High Springs, FL",,High Springs,FL,,"High Springs, FL","U-Pick Farm, Orchard",,,,,
"Eustis, FL",,Eustis,FL,,"Eustis, FL","U-Pick Farm, Orchard",,,,,
"Milton, FL",,Milton,FL,,"Milton, FL","U-Pick Farm, Orchard",,,,,
"Ruskin, FL",,Ruskin,FL,,"Ruskin, FL","U-Pick Farm, Orchard",,,,,
"Dr Eustis, FL",,Dr Eustis,FL,,"Dr Eustis, FL","U-Pick Farm, Orchard",,,,,
"Holiday, FL",,Holiday,FL,,"Holiday, FL","U-Pick Farm, Orchard",,,,,
"Island Grove, FL",,Island Grove,FL,,"Island Grove, FL","U-Pick Farm, Orchard",,,,,
"Aventura, FL",,Aventura,FL,,"Aventura, FL","U-Pick Farm, Orchard",,,,,
Live Oak11,,,Florida,,", , Florida","U-Pick Farm, Orchard",,,,,
Plant City20,,,Florida,,", , Florida","U-Pick Farm, Orchard",,,,,
Dade City9,,,Florida,,", , Florida","U-Pick Farm, Orchard",,,,,
All About The Blueberry Farm,,Plant City,FL,,"Plant City, FL","U-Pick Farm, Orchard",,,,,
Allison Family Farm LLC,,Crescent City,FL,,"Crescent City, FL","U-Pick Farm, Orchard",,,,,
Allison's Apiaries,,Ocoee,FL,,"Ocoee, FL","U-Pick Farm, Orchard",,,,,
Amazing Animals Inc,,St Cloud,FL,,"St Cloud, FL","U-Pick Farm, Orchard",,,,,
Amazing Grace Family Farms,,Green Cove Springs,FL,,"Green Cove Springs, FL","U-Pick Farm, Orchard",,,,,
Amazing Grace Gardens,,High Springs,FL,,"High Springs, FL","U-Pick Farm, Orchard",,,,,
Amber Brooke Farms U-Pick,,Eustis,FL,,"Eustis, FL","U-Pick Farm, Orchard",,,,,
AnnaPearls Strawberry Patch,,Pace,FL,,"Pace, FL","U-Pick Farm, Orchard",,,,,
Aunt Mattie's Berry Patch,,Holiday,FL,,"Holiday, FL","U-Pick Farm, Orchard",,,,,
Aunt Zelma's Blueberries,,Island Grove,FL,,"Island Grove, FL","U-Pick Farm, Orchard",,,,,
Naples4New Smyrna Beach2Newberry3north Fort Myers1North)1,,,Florida,,", , Florida","U-Pick Farm, Orchard",,,,,
"Tiffin, OH",,Tiffin,OH,,"Tiffin, OH","U-Pick Farm, Orchard",,,,,
"Trenton, OH",,Trenton,OH,,"Trenton, OH","U-Pick Farm, Orchard",,,,,
"Barnesville, OH",,Barnesville,OH,,"Barnesville, OH","U-Pick Farm, Orchard",,,,,
"Lynchburg, OH",,Lynchburg,OH,,"Lynchburg, OH","U-Pick Farm, Orchard",,,,,
"Leesburg, OH",,Leesburg,OH,,"Leesburg, OH","U-Pick Farm, Orchard",,,,,
"Rittman, OH",,Rittman,OH,,"Rittman, OH","U-Pick Farm, Orchard",,,,,
"Vermilion, OH",,Vermilion,OH,,"Vermilion, OH","U-Pick Farm, Orchard",,,,,
"Cleveland, OH",,Cleveland,OH,,"Cleveland, OH","U-Pick Farm, Orchard",,,,,
"Dayton, OH",,Dayton,OH,,"Dayton, OH","U-Pick Farm, Orchard",,,,,
"Londonderry, OH",,Londonderry,OH,,"Londonderry, OH","U-Pick Farm, Orchard",,,,,
"Creston, OH",,Creston,OH,,"Creston, OH","U-Pick Farm, Orchard",,,,,
"Curtice, OH",,Curtice,OH,,"Curtice, OH","U-Pick Farm, Orchard",,,,,
"Port Clinton, OH",,Port Clinton,OH,,"Port Clinton, OH","U-Pick Farm, Orchard",,,,,
"Valley City, OH",,Valley City,OH,,"Valley City, OH","U-Pick Farm, Orchard",,,,,
"Mount Vernon, OH",,Mount Vernon,OH,,"Mount Vernon, OH","U-Pick Farm, Orchard",,,,,
Barb and Dicks Berryfarm,,Tiffin,OH,,"Tiffin, OH","U-Pick Farm, Orchard",,,,,
Barnesville Pumpkin Festival,,Barnesville,OH,,"Barnesville, OH","U-Pick Farm, Orchard",,,,,
Barretts Strawberry Farm,,Leesburg,OH,,"Leesburg, OH","U-Pick Farm, Orchard",,,,,
Baumhart Berry Farm,,Vermilion,OH,,"Vermilion, OH","U-Pick Farm, Orchard",,,,,
Bay Branch Farm,,Cleveland,OH,,"Cleveland, OH","U-Pick Farm, Orchard",,,,,
Bayer's Melon Farm,,Dayton,OH,,"Dayton, OH","U-Pick Farm, Orchard",,,,,
Bee Guy Supplies,,Londonderry,OH,,"Londonderry, OH","U-Pick Farm, Orchard",,,,,
Belted Oak Ranch,,Creston,OH,,"Creston, OH","U-Pick Farm, Orchard",,,,,
Bench's Bees & Honey,,Curtice,OH,,"Curtice, OH","U-Pick Farm, Orchard",,,,,
Bergman Orchards,,Port Clinton,OH,,"Port Clinton, OH","U-Pick Farm, Orchard",,,,,
Beriswill Farms,,Valley City,OH,,"Valley City, OH","U-Pick Farm, Orchard",,,,,
"Lost Creek, WV",,Lost Creek,WV,,"Lost Creek, WV","U-Pick Farm, Orchard",,,,,
"French Creek, WV",,French Creek,WV,,"French Creek, WV","U-Pick Farm, Orchard",,,,,
"Ravenswood, WV",,Ravenswood,WV,,"Ravenswood, WV","U-Pick Farm, Orchard",,,,,
"Martinsburg, WV",,Martinsburg,WV,,"Martinsburg, WV","U-Pick Farm, Orchard",,,,,
"Frankford, WV",,Frankford,WV,,"Frankford, WV","U-Pick Farm, Orchard",,,,,
"Buffalo, WV",,Buffalo,WV,,"Buffalo, WV","U-Pick Farm, Orchard",,,,,
"Harpers Ferry, WV",,Harpers Ferry,WV,,"Harpers Ferry, WV","U-Pick Farm, Orchard",,,,,
"Itmann, WV",,Itmann,WV,,"Itmann, WV","U-Pick Farm, Orchard",,,,,
"Elizabeth, WV",,Elizabeth,WV,,"Elizabeth, WV","U-Pick Farm, Orchard",,,,,
Harpers Ferry2,,,West Virginia,,", , West Virginia","U-Pick Farm, Orchard",,,,,
Lost Creek2,,,West Virginia,,", , West Virginia","U-Pick Farm, Orchard",,,,,
Berkeley Springs1,,,West Virginia,,", , West Virginia","U-Pick Farm, Orchard",,,,,
Doctor Dekays House of Screams,,Ona,WV,,"Ona, WV","U-Pick Farm, Orchard",,,,,
Earthway Primitives Apiary,,Lost Creek,WV,,"Lost Creek, WV","U-Pick Farm, Orchard",,,,,
Floral Acres,,French Creek,WV,,"French Creek, WV","U-Pick Farm, Orchard",,,,,
Formerly Called Sizemore Farm,,Clay,WV,,"Clay, WV","U-Pick Farm, Orchard",,,,,
Garden by the Woods,,Martinsburg,WV,,"Martinsburg, WV","U-Pick Farm, Orchard",,,,,
Good Hope Berry Farm,,Lost Creek,WV,,"Lost Creek, WV","U-Pick Farm, Orchard",,,,,
Harpers Ferry Canopy Tour,,Harpers Ferry,WV,,"Harpers Ferry, WV","U-Pick Farm, Orchard",,,,,
Hatfield Mountain Farm,,Itmann,WV,,"Itmann, WV","U-Pick Farm, Orchard",,,,,
Heavenly Honey Apiary and Supplies,,Elizabeth,WV,,"Elizabeth, WV","U-Pick Farm, Orchard",,,,,
"Augusta, GA",,Augusta,GA,,"Augusta, GA","U-Pick Farm, Orchard",,,,,
"Flovilla, GA",,Flovilla,GA,,"Flovilla, GA","U-Pick Farm, Orchard",,,,,
"Fayetteville, GA",,Fayetteville,GA,,"Fayetteville, GA","U-Pick Farm, Orchard",,,,,
"Barney, GA",,Barney,GA,,"Barney, GA","U-Pick Farm, Orchard",,,,,
"Moultrie, GA",,Moultrie,GA,,"Moultrie, GA","U-Pick Farm, Orchard",,,,,
"Ashburn, GA",,Ashburn,GA,,"Ashburn, GA","U-Pick Farm, Orchard",,,,,
"Pearson, GA",,Pearson,GA,,"Pearson, GA","U-Pick Farm, Orchard",,,,,
"Royston, GA",,Royston,GA,,"Royston, GA","U-Pick Farm, Orchard",,,,,
"Senoia, GA",,Senoia,GA,,"Senoia, GA","U-Pick Farm, Orchard",,,,,
"Blue Ridge, GA",,Blue Ridge,GA,,"Blue Ridge, GA","U-Pick Farm, Orchard",,,,,
"Ochlocknee, GA",,Ochlocknee,GA,,"Ochlocknee, GA","U-Pick Farm, Orchard",,,,,
"Homerville, GA",,Homerville,GA,,"Homerville, GA","U-Pick Farm, Orchard",,,,,
"Collins, GA",,Collins,GA,,"Collins, GA","U-Pick Farm, Orchard",,,,,
"Canton, GA",,Canton,GA,,"Canton, GA","U-Pick Farm, Orchard",,,,,
Fort Valley7,,,Georgia,,", , Georgia","U-Pick Farm, Orchard",,,,,
Augusta Paintball,,Augusta,GA,,"Augusta, GA","U-Pick Farm, Orchard",,,,,
"Backyard Apples, Figs and Pecans",,Flovilla,GA,,"Flovilla, GA","U-Pick Farm, Orchard",,,,,
Bank's Vineyard,,Fayetteville,GA,,"Fayetteville, GA","U-Pick Farm, Orchard",,,,,
Bar C Mater & Vegetable Patch,,Barney,GA,,"Barney, GA","U-Pick Farm, Orchard",,,,,
"Barber-Tucker Inn, LLC",,Moultrie,GA,,"Moultrie, GA","U-Pick Farm, Orchard",,,,,
Barlow /Potts Farm,,Newnan,GA,,"Newnan, GA","U-Pick Farm, Orchard",,,,,
Batten Family Farms DBA 5 Generations Farm,,Pearson,GA,,"Pearson, GA","U-Pick Farm, Orchard",,,,,
Bea's Better Berries,,Royston,GA,,"Royston, GA","U-Pick Farm, Orchard",,,,,
Beak and Berry Farm,,Senoia,GA,,"Senoia, GA","U-Pick Farm, Orchard",,,,,
Bear Claw Vineyards & Winery,,Blue Ridge,GA,,"Blue Ridge, GA","U-Pick Farm, Orchard",,,,,
Beas Blueberry Patch,,Ochlocknee,GA,,"Ochlocknee, GA","U-Pick Farm, Orchard",,,,,
Bell's Berry Patch,,Homerville,GA,,"Homerville, GA","U-Pick Farm, Orchard",,,,,
"Waseca, MN",,Waseca,MN,,"Waseca, MN","U-Pick Farm, Orchard",,,,,
"Dundas, MN",,Dundas,MN,,"Dundas, MN","U-Pick Farm, Orchard",,,,,
"Harmony, MN",,Harmony,MN,,"Harmony, MN","U-Pick Farm, Orchard",,,,,
"Stillwater, MN",,Stillwater,MN,,"Stillwater, MN","U-Pick Farm, Orchard",,,,,
"Clear Lake, MN",,Clear Lake,MN,,"Clear Lake, MN","U-Pick Farm, Orchard",,,,,
"Jacobson, MN",,Jacobson,MN,,"Jacobson, MN","U-Pick Farm, Orchard",,,,,
"Minneapolis, MN",,Minneapolis,MN,,"Minneapolis, MN","U-Pick Farm, Orchard",,,,,
"Champlin, MN",,Champlin,MN,,"Champlin, MN","U-Pick Farm, Orchard",,,,,
"Elk River, MN",,Elk River,MN,,"Elk River, MN","U-Pick Farm, Orchard",,,,,
"Hinckley, MN",,Hinckley,MN,,"Hinckley, MN","U-Pick Farm, Orchard",,,,,
"Chatfield, MN",,Chatfield,MN,,"Chatfield, MN","U-Pick Farm, Orchard",,,,,
"Lanesboro, MN",,Lanesboro,MN,,"Lanesboro, MN","U-Pick Farm, Orchard",,,,,
"Bird Island, MN",,Bird Island,MN,,"Bird Island, MN","U-Pick Farm, Orchard",,,,,
Elk River3,,,Minnesota,,", , Minnesota","U-Pick Farm, Orchard",,,,,
Grand Rapids3,,,Minnesota,,", , Minnesota","U-Pick Farm, Orchard",,,,,
Park Rapids3,,,Minnesota,,", , Minnesota","U-Pick Farm, Orchard",,,,,
"Aronia Berries, LLC",,Waseca,MN,,"Waseca, MN","U-Pick Farm, Orchard",,,,,
Auntie Annie's Fields,,Dundas,MN,,"Dundas, MN","U-Pick Farm, Orchard",,,,,
Axdahl's Garden Farm,,Stillwater,MN,,"Stillwater, MN","U-Pick Farm, Orchard",,,,,
Ball Bluff Farms LLC,,Jacobson,MN,,"Jacobson, MN","U-Pick Farm, Orchard",,,,,
Barten Pumpkins,,New Prague,MN,,"New Prague, MN","U-Pick Farm, Orchard",,,,,
Bauer Berry Farm,,Champlin,MN,,"Champlin, MN","U-Pick Farm, Orchard",,,,,
Ben's Berry Farm,,Hinckley,MN,,"Hinckley, MN","U-Pick Farm, Orchard",,,,,
Berry and Bloom Farm LLC,,Chatfield,MN,,"Chatfield, MN","U-Pick Farm, Orchard",,,,,
"Big Springs Farm Pumpkins & Corn Maze, LLC",,Lanesboro,MN,,"Lanesboro, MN","U-Pick Farm, Orchard",,,,,
Bird Island Berries,,Bird Island,MN,,"Bird Island, MN","U-Pick Farm, Orchard",,,,,
Faribault1Farmington3Fergus Falls1Fertile1Finlayson1Foley1Forest Lake1Frazee1,,,Minnesota,,", , Minnesota","U-Pick Farm, Orchard",,,,,
"Ft. Towon, OK",,Ft. Towon,OK,,"Ft. Towon, OK","U-Pick Farm, Orchard",,,,,
"Chickasha, OK",,Chickasha,OK,,"Chickasha, OK","U-Pick Farm, Orchard",,,,,
"Mustang, OK",,Mustang,OK,,"Mustang, OK","U-Pick Farm, Orchard",,,,,
"Claremore, OK",,Claremore,OK,,"Claremore, OK","U-Pick Farm, Orchard",,,,,
"Nowata, OK",,Nowata,OK,,"Nowata, OK","U-Pick Farm, Orchard",,,,,
"Sapulpa, OK",,Sapulpa,OK,,"Sapulpa, OK","U-Pick Farm, Orchard",,,,,
"Chelsea, OK",,Chelsea,OK,,"Chelsea, OK","U-Pick Farm, Orchard",,,,,
"Piedmont, OK",,Piedmont,OK,,"Piedmont, OK","U-Pick Farm, Orchard",,,,,
"Cashion, OK",,Cashion,OK,,"Cashion, OK","U-Pick Farm, Orchard",,,,,
Sand Springs6,,,Oklahoma,,", , Oklahoma","U-Pick Farm, Orchard",,,,,
Breezy Hill Berries,,Ft. Towon,OK,,"Ft. Towon, OK","U-Pick Farm, Orchard",,,,,
Brown's Farm and Garden,,Chickasha,OK,,"Chickasha, OK","U-Pick Farm, Orchard",,,,,
Buffalo Creek Berry Farm,,Mustang,OK,,"Mustang, OK","U-Pick Farm, Orchard",,,,,
Canyon Berry Farm,,Claremore,OK,,"Claremore, OK","U-Pick Farm, Orchard",,,,,
Carmichael's Produce,,Bixby,OK,,"Bixby, OK","U-Pick Farm, Orchard",,,,,
Cedar Bluff Raspberries,,Sapulpa,OK,,"Sapulpa, OK","U-Pick Farm, Orchard",,,,,
Chester's Party Barn & Farm,,Piedmont,OK,,"Piedmont, OK","U-Pick Farm, Orchard",,,,,
Copperhead Acres,,Piedmont,OK,,"Piedmont, OK","U-Pick Farm, Orchard",,,,,
Cornerstone Kids Ranch,,Ada,OK,,"Ada, OK","U-Pick Farm, Orchard",,,,,
Cottonwood Creek Pumpkin Farm,,Cashion,OK,,"Cashion, OK","U-Pick Farm, Orchard",,,,,
"Fairchild, WI",,Fairchild,WI,,"Fairchild, WI","U-Pick Farm, Orchard",,,,,
"Peshtigo, WI",,Peshtigo,WI,,"Peshtigo, WI","U-Pick Farm, Orchard",,,,,
"Prentice, WI",,Prentice,WI,,"Prentice, WI","U-Pick Farm, Orchard",,,,,
"Hudson, WI",,Hudson,WI,,"Hudson, WI","U-Pick Farm, Orchard",,,,,
"Arcadia, WI",,Arcadia,WI,,"Arcadia, WI","U-Pick Farm, Orchard",,,,,
"Baraboo, WI",,Baraboo,WI,,"Baraboo, WI","U-Pick Farm, Orchard",,,,,
"Mequon, WI",,Mequon,WI,,"Mequon, WI","U-Pick Farm, Orchard",,,,,
"Shell Lake, WI",,Shell Lake,WI,,"Shell Lake, WI","U-Pick Farm, Orchard",,,,,
"Marengo, WI",,Marengo,WI,,"Marengo, WI","U-Pick Farm, Orchard",,,,,
"Sussex, WI",,Sussex,WI,,"Sussex, WI","U-Pick Farm, Orchard",,,,,
"Bayfield, WI",,Bayfield,WI,,"Bayfield, WI","U-Pick Farm, Orchard",,,,,
"Waterford, WI",,Waterford,WI,,"Waterford, WI","U-Pick Farm, Orchard",,,,,
Sturgeon Bay10,,,Wisconsin,,", , Wisconsin","U-Pick Farm, Orchard",,,,,
Eau Claire4,,,Wisconsin,,", , Wisconsin","U-Pick Farm, Orchard",,,,,
River Falls4,,,Wisconsin,,", , Wisconsin","U-Pick Farm, Orchard",,,,,
Cross Plains3,,,Wisconsin,,", , Wisconsin","U-Pick Farm, Orchard",,,,,
Augusta Blueberries,,Fairchild,WI,,"Fairchild, WI","U-Pick Farm, Orchard",,,,,
Auntie Evies Apple Orchard,,New Berlin,WI,,"New Berlin, WI","U-Pick Farm, Orchard",,,,,
Autumn Harvest (AH Farm),,Peshtigo,WI,,"Peshtigo, WI","U-Pick Farm, Orchard",,,,,
Autumn Larch Farm LLC,,Prentice,WI,,"Prentice, WI","U-Pick Farm, Orchard",,,,,
Badlands Fall Family Fun,,Hudson,WI,,"Hudson, WI","U-Pick Farm, Orchard",,,,,
Bagniewski Farms,,Arcadia,WI,,"Arcadia, WI","U-Pick Farm, Orchard",,,,,
Barthel Fruit Farm,,Mequon,WI,,"Mequon, WI","U-Pick Farm, Orchard",,,,,
Bashaw Valley Farm Greenhouse and Storage,,Shell Lake,WI,,"Shell Lake, WI","U-Pick Farm, Orchard",,,,,
Basket Flats Strawberry Farm,,Marengo,WI,,"Marengo, WI","U-Pick Farm, Orchard",,,,,
Basse's Taste of Country Pumpkin Farm,,Sussex,WI,,"Sussex, WI","U-Pick Farm, Orchard",,,,,
Bauer's Apple Shed,,Greenville,WI,,"Greenville, WI","U-Pick Farm, Orchard",,,,,
Bayfield Apple Co.,,Bayfield,WI,,"Bayfield, WI","U-Pick Farm, Orchard",,,,,
Bear Den Zoo& Petting Farm,,Waterford,WI,,"Waterford, WI","U-Pick Farm, Orchard",,,,,
Bee Damned Honey Company,,South Wayne,WI,,"South Wayne, WI","U-Pick Farm, Orchard",,,,,
"Kapolei, HI",,Kapolei,HI,,"Kapolei, HI","U-Pick Farm, Orchard",,,,,
"Captain Cook, HI",,Captain Cook,HI,,"Captain Cook, HI","U-Pick Farm, Orchard",,,,,
"Honolulu, HI",,Honolulu,HI,,"Honolulu, HI","U-Pick Farm, Orchard",,,,,
"Kealakekua, HI",,Kealakekua,HI,,"Kealakekua, HI","U-Pick Farm, Orchard",,,,,
"Papaikou, HI",,Papaikou,HI,,"Papaikou, HI","U-Pick Farm, Orchard",,,,,
"Ninole, HI",,Ninole,HI,,"Ninole, HI","U-Pick Farm, Orchard",,,,,
Captain Cook7,,,Hawaii,,", , Hawaii","U-Pick Farm, Orchard",,,,,
Big Island Bees,,Captain Cook,HI,,"Captain Cook, HI","U-Pick Farm, Orchard",,,,,
Big Island Honey,,Captain Cook,HI,,"Captain Cook, HI","U-Pick Farm, Orchard",,,,,
Edge of the World,,Captain Cook,HI,,"Captain Cook, HI","U-Pick Farm, Orchard",,,,,
Forest Product Society,,Honolulu,HI,,"Honolulu, HI","U-Pick Farm, Orchard",,,,,
Hamakua Chocolate Farm,,Papaikou,HI,,"Papaikou, HI","U-Pick Farm, Orchard",,,,,
Hamakua Christmas Tree Forest,,Ninole,HI,,"Ninole, HI","U-Pick Farm, Orchard",,,,,
Hamakua Liquid Gold,,Papaikou,HI,,"Papaikou, HI","U-Pick Farm, Orchard",,,,,
Huelo Lookout Fruit Stand,,Haiku,HI,,"Haiku, HI","U-Pick Farm, Orchard",,,,,
Kane Plantation Guesthouse,,Captain Cook,HI,,"Captain Cook, HI","U-Pick Farm, Orchard",,,,,
Kilohana Plantation,,Lihue,HI,,"Lihue, HI","U-Pick Farm, Orchard",,,,,
"Carriere, MS",,Carriere,MS,,"Carriere, MS","U-Pick Farm, Orchard",,,,,
"Vancleave, MS",,Vancleave,MS,,"Vancleave, MS","U-Pick Farm, Orchard",,,,,
"Florence, MS",,Florence,MS,,"Florence, MS","U-Pick Farm, Orchard",,,,,
"Picayune, MS",,Picayune,MS,,"Picayune, MS","U-Pick Farm, Orchard",,,,,
"Poplarville, MS",,Poplarville,MS,,"Poplarville, MS","U-Pick Farm, Orchard",,,,,
"Tremont, MS",,Tremont,MS,,"Tremont, MS","U-Pick Farm, Orchard",,,,,
"Duck Hill, MS",,Duck Hill,MS,,"Duck Hill, MS","U-Pick Farm, Orchard",,,,,
"Senatobia, MS",,Senatobia,MS,,"Senatobia, MS","U-Pick Farm, Orchard",,,,,
"Lucedale, MS",,Lucedale,MS,,"Lucedale, MS","U-Pick Farm, Orchard",,,,,
"Magnolia, MS",,Magnolia,MS,,"Magnolia, MS","U-Pick Farm, Orchard",,,,,
"Pontotoc, MS",,Pontotoc,MS,,"Pontotoc, MS","U-Pick Farm, Orchard",,,,,
"Buckatunna, MS",,Buckatunna,MS,,"Buckatunna, MS","U-Pick Farm, Orchard",,,,,
"Corinth, MS",,Corinth,MS,,"Corinth, MS","U-Pick Farm, Orchard",,,,,
Moss Point3,,,Mississippi,,", , Mississippi","U-Pick Farm, Orchard",,,,,
Blueberry Bluephoria aka Toft Farms,,Carriere,MS,,"Carriere, MS","U-Pick Farm, Orchard",,,,,
Blueberry Heaven,,Vancleave,MS,,"Vancleave, MS","U-Pick Farm, Orchard",,,,,
Blueberry Hill Farm,,Florence,MS,,"Florence, MS","U-Pick Farm, Orchard",,,,,
Blueberry Hill Farms,,Union,MS,,"Union, MS","U-Pick Farm, Orchard",,,,,
Blueberry Ridge,,Picayune,MS,,"Picayune, MS","U-Pick Farm, Orchard",,,,,
BlueJack Ridge Ranch,,Poplarville,MS,,"Poplarville, MS","U-Pick Farm, Orchard",,,,,
Briar Creek Vineyards,,Tremont,MS,,"Tremont, MS","U-Pick Farm, Orchard",,,,,
Burris Farms U-Pick,,Senatobia,MS,,"Senatobia, MS","U-Pick Farm, Orchard",,,,,
Charlie's U-Pik,,Lucedale,MS,,"Lucedale, MS","U-Pick Farm, Orchard",,,,,
Cherry Creek Orchards,,Pontotoc,MS,,"Pontotoc, MS","U-Pick Farm, Orchard",,,,,
Chicora Organic Farm,,Buckatunna,MS,,"Buckatunna, MS","U-Pick Farm, Orchard",,,,,
Circle Y Equestrian Center,,Corinth,MS,,"Corinth, MS","U-Pick Farm, Orchard",,,,,
Coastal Ridge Farm LLC,,Picayune,MS,,"Picayune, MS","U-Pick Farm, Orchard",,,,,
"Powell, WY",,Powell,WY,,"Powell, WY","U-Pick Farm, Orchard",,,,,
"Buffalo, WY",,Buffalo,WY,,"Buffalo, WY","U-Pick Farm, Orchard",,,,,
"Ten Sleep, WY",,Ten Sleep,WY,,"Ten Sleep, WY","U-Pick Farm, Orchard",,,,,
"Lingle, WY",,Lingle,WY,,"Lingle, WY","U-Pick Farm, Orchard",,,,,
"Casper, WY",,Casper,WY,,"Casper, WY","U-Pick Farm, Orchard",,,,,
"Sheridan, WY",,Sheridan,WY,,"Sheridan, WY","U-Pick Farm, Orchard",,,,,
"Worland, WY",,Worland,WY,,"Worland, WY","U-Pick Farm, Orchard",,,,,
"Thayne, WY",,Thayne,WY,,"Thayne, WY","U-Pick Farm, Orchard",,,,,
"Shoshoni, WY",,Shoshoni,WY,,"Shoshoni, WY","U-Pick Farm, Orchard",,,,,
"Lander, WY",,Lander,WY,,"Lander, WY","U-Pick Farm, Orchard",,,,,
Ten Sleep1,,,Wyoming,,", , Wyoming","U-Pick Farm, Orchard",,,,,
Arrowhead Alpacas,,Powell,WY,,"Powell, WY","U-Pick Farm, Orchard",,,,,
Circle J Ranch,,Ten Sleep,WY,,"Ten Sleep, WY","U-Pick Farm, Orchard",,,,,
Ellis' Harvest Home,,Lingle,WY,,"Lingle, WY","U-Pick Farm, Orchard",,,,,
Gallagher's Corn Maze and Pumpkin Patch,,Powell,WY,,"Powell, WY","U-Pick Farm, Orchard",,,,,
Jacketts Pumpkins on the HS Ranch,,Casper,WY,,"Casper, WY","U-Pick Farm, Orchard",,,,,
Koltiska Pumpkin Patch,,Sheridan,WY,,"Sheridan, WY","U-Pick Farm, Orchard",,,,,
Lungren Girls Farm,,Worland,WY,,"Worland, WY","U-Pick Farm, Orchard",,,,,
Mini Greens Co.,,Sheridan,WY,,"Sheridan, WY","U-Pick Farm, Orchard",,,,,
Pope Farm & Apple Orchard,,Lingle,WY,,"Lingle, WY","U-Pick Farm, Orchard",,,,,
Raspberry deLight Farms,,Shoshoni,WY,,"Shoshoni, WY","U-Pick Farm, Orchard",,,,,
"Burley, ID",,Burley,ID,,"Burley, ID","U-Pick Farm, Orchard",,,,,
"Emmett, ID",,Emmett,ID,,"Emmett, ID","U-Pick Farm, Orchard",,,,,
"Saint Maries, ID",,Saint Maries,ID,,"Saint Maries, ID","U-Pick Farm, Orchard",,,,,
